state,population,density_per_sq_mile
California,39937500,256
Texas,29472300,113
Florida,21993000,410
New York,19440500,413
Pennsylvania,12820900,287
Illinois,12659700,228
Ohio,11747700,288
Georgia,10736100,187
North Carolina,10611900,218
Michigan,10045000,178
New Jersey,8936570,1215
Virginia,8626210,218
Washington,7797100,117
Arizona,7378490,65
Massachusetts,6976600,894
Tennessee,6897580,167
Indiana,6745350,188
Missouri,6169270,90
Maryland,6083120,627
Wisconsin,5851750,108
Colorado,5845530,56
Minnesota,5700670,72
South Carolina,5210100,173
Alabama,4908620,97
Louisiana,4645180,108
Kentucky,4499690,114
Oregon,4301090,45
Oklahoma,3954820,58
Connecticut,3563080,736
Utah,3282120,40
Iowa,3179850,57
Nevada,3139660,29
Arkansas,3039000,58
Puerto Rico,3032160,877
Mississippi,2989260,64
Kansas,2910360,36
New Mexico,2096640,17
Nebraska,1952570,25
Idaho,1826160,22
West Virginia,1778070,74
Hawaii,1412690,220
New Hampshire,1371250,153
Maine,1345790,44
Montana,1086760,7
Rhode Island,1056160,1021
Delaware,982895,504
South Dakota,903027,12
North Dakota,761723,11
Alaska,734002,1
District of Columbia,720687,11815
Vermont,628061,68
Wyoming,567025,6
United States,334351340,94
New York City,8399000,2700
